Exercise Name,Day last selected,Modality,Cardio or Strength,Impact?,Anterior/Posterior,Station Number,Equipment,,KEY
modified push up 90 degree hold,,,,,,,,,
modified push up with rotation,,,,,,,,,
modified push up,,,,,,,,,
modified side plank with abduction,,,,,,,,,
modified side plank with dip,,,,,,,,,
modified side plank with rotation,,,,,,,,,
modified side plank,,,,,,,,,
modified sphinx push up,,,,,,,,,
modified tricep push up,,,,,,,,,
modified wide narrow push up combo,,,,,,,,,
mountain climbers,,,,,,,,,
one dumbbell lying tricep extension with crunch,,,,,,,,,
opposite arm opposite leg bird dog,,,,,,,,,
partial rep high knees,,,,,,,,,
pelvic lift,,,,,,,,,
plank jack with elbows,,,,,,,,,
plank jacks,,,,,,,,,
plank ups,,,,,,,,,
plank with lower body twists,,,,,,,,,
plank,,,,,,,,,
pose ball SL opposite arm opposite leg crunch left,,,,,,,,,
pose ball SL opposite arm opposite leg crunch right,,,,,,,,,
pose ball hand to foot exchange,,,,,,,,,
pose ball straight arm upper body twist crunch,,,,,,,,,
pose ball v sit twists with 1 foot on ground,,,,,,,,,
pose ball v sit twists with ball btw feet,,,,,,,,,
prone low hurdle lateral hops,,,,,,,,,
prone swimmers,,,,,,,,,
push up hold at 90 degrees,,,,,,,,,
push up hold opp arm opp leg,,,,,,,,,
push up hold with shoulder touch,,,,,,,,,
push up to plank jack,,,,,,,,,
push up with hip extension,,,,,,,,,
push up with hip flexion,,,,,,,,,
push up with rotation,,,,,,,,,
push up with wide hip flexion,,,,,,,,,
reverse lunge left leg,,,,,,,,,
reverse lunge with front kick left,,,,,,,,,
reverse lunge with front kick right,,,,,,,,,
reverse lunge with front kick,,,,,,,,,
reverse lunge,,,,,,,,,
scissors,,,,,,,,,
side plank with abduction,,,,,,,,,
side plank with dip,,,,,,,,,
side plank with rotation,,,,,,,,,
side plank,,,,,,,,,
single leg lunge jump left,,,,,,,,,
single leg pelvic lift left 120 degree,,,,,,,,,
single leg pelvic lift left,,,,,,,,,
single leg pelvic lift right 120 degrees,,,,,,,,,
sphinx push ups,,,,,,,,,
squat dot jump squat,,,,,,,,,
squat hold,,,,,,,,,
squat jacks,,,,,,,,,
squat jumps,,,,,,,,,
squat with alt hip extension,,,,,,,,,
squat with alt hip flexion,,,,,,,,,
squat with front kicks,,,,,,,,,
squat with hip turns,,,,,,,,,
stability ball alternating single leg bridge,,,,,,,,,
stability ball alternating single leg curl,,,,,,,,,
stability ball alternating single leg pelvic lift,,,,,,,,,
stability ball bridge,,,,,,,,,
stability ball crunch,,,,,,,,,
stability ball hyper extension,,,,,,,,,
stability ball leg extensions,,,,,,,,,
stability ball marching plank elbows on ball,,,,,,,,,
stability ball modified pike knees to chest,,,,,,,,,
stability ball modified roll out,,,,,,,,,
stability ball pelvic lift,,,,,,,,,
stability ball pike,,,,,,,,,
stability ball plank elbows on ball,,,,,,,,,
stability ball push up hands on ball,,,,,,,,,
stability ball push up hold with feet on ball,,,,,,,,,
stability ball push up hold with hip extension and hands on ball,,,,,,,,,
stability ball push up with feet on ball,,,,,,,,,
stability ball twist crunch,,,,,,,,,
standing twist crunch,,,,,,,,,
star jumps,,,,,,,,,
stationary lateral lunge,,,,,,,,,
stationary lunge left,,,,,,,,,
stationary lunge right,,,,,,,,,
stationary lunge with hip ext left,,,,,,,,,
step lateral step run,,,,,,,,,
step step up with hip flexion,,,,,,,,,
stepping lunge lateral lunge left,,,,,,,,,
stepping lunge lateral lunge right,,,,,,,,,
stepping lunge,,,,,,,,,
straight arm upper body crunch,,,,,,,,,
straight arm whole body crunch,,,,,,,,,
straight leg 3 way pelvic lift,,,,,,,,,
straight leg cross over crunch left,,,,,,,,,
straight leg cross over crunch right,,,,,,,,,
straight leg cross over crunch,,,,,,,,,
straight leg crunch hold reaching for toes,,,,,,,,,
straight leg flutter kicks,,,,,,,,,
straight leg half ROM crunch,,,,,,,,,
straight leg half ROM twist crunch,,,,,,,,,
straight leg lift with pelvic lift,,,,,,,,,
straight leg oblique crunch left,,,,,,,,,
straight leg oblique crunch right,,,,,,,,,
straight leg pelvic lift with twist,,,,,,,,,
straight leg pelvic lift,,,,,,,,,
straight leg twisting crunch,,,,,,,,,
straight leg upper body crunch,,,,,,,,,
